report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1985,NM00101,"Albuquerque, NM",357051.0,4105.0,42.0,238.0,2578.0,1247.0,12.0,1149.7,11.76,66.66,722.03,349.25
1985,TX22001,"Arlington, TX",218931.0,1110.0,18.0,105.0,688.0,299.0,12.0,507.01,8.22,47.96,314.25,136.57
1985,GAAPD00,"Atlanta, GA",436214.0,11610.0,145.0,683.0,5990.0,4792.0,12.0,2661.54,33.24,156.57,1373.18,1098.54
1985,CO00101,"Aurora, CO",198033.0,2250.0,10.0,89.0,1717.0,434.0,12.0,1136.17,5.05,44.94,867.03,219.16
1985,TX22701,"Austin, TX",406469.0,2363.0,52.0,489.0,746.0,1076.0,12.0,581.35,12.79,120.3,183.53,264.72
1985,MD00301,"Baltimore County, MD",679708.0,6775.0,24.0,179.0,5491.0,1081.0,12.0,996.75,3.53,26.33,807.85,159.04
1985,MDBPD00,"Baltimore, MD",771097.0,15498.0,213.0,592.0,6922.0,7771.0,12.0,2009.86,27.62,76.77,897.68,1007.79
1985,MA01301,"Boston, MA",573131.0,11887.0,87.0,532.0,5036.0,6232.0,12.0,2074.05,15.18,92.82,878.68,1087.36
1985,NY01401,"Buffalo, NY",339890.0,3411.0,31.0,291.0,1699.0,1390.0,12.0,1003.56,9.12,85.62,499.87,408.96
1985,NC06001,"Charlotte, NC",335690.0,4575.0,56.0,226.0,3172.0,1121.0,12.0,1362.86,16.68,67.32,944.92,333.94
1985,ILCPD00,"Chicago, IL",2998841.0,60011.0,666.0,3357.0,29096.0,26892.0,12.0,2001.14,22.21,111.94,970.24,896.75
1985,OHCIP00,"Cincinnati, OH",370198.0,3275.0,45.0,360.0,1628.0,1242.0,12.0,884.66,12.16,97.25,439.76,335.5
1985,OHCLP00,"Cleveland, OH",546126.0,6580.0,131.0,745.0,2205.0,3499.0,12.0,1204.85,23.99,136.42,403.75,640.69
1985,OHCOP00,"Columbus, OH",565682.0,4392.0,72.0,406.0,1770.0,2144.0,12.0,776.41,12.73,71.77,312.9,379.01
1985,TXDPD00,"Dallas, TX",997467.0,14364.0,301.0,1149.0,6863.0,6051.0,12.0,1440.05,30.18,115.19,688.04,606.64
1985,CODPD00,"Denver, CO",513048.0,4252.0,72.0,418.0,1845.0,1917.0,12.0,828.77,14.03,81.47,359.62,373.65
1985,MI82349,"Detroit, MI",1090581.0,25904.0,635.0,1575.0,6925.0,16769.0,12.0,2375.25,58.23,144.42,634.98,1537.62
1985,TX07102,"El Paso, TX",474870.0,3662.0,22.0,181.0,2466.0,993.0,12.0,771.16,4.63,38.12,519.3,209.11
1985,VA02901,"Fairfax County, VA",651037.0,889.0,4.0,57.0,317.0,511.0,12.0,136.55,0.61,8.76,48.69,78.49
1985,TX22012,"Fort Worth, TX",424449.0,6352.0,128.0,483.0,3121.0,2620.0,12.0,1496.53,30.16,113.79,735.31,617.27
1985,CA01005,"Fresno, CA",275125.0,2311.0,46.0,178.0,854.0,1233.0,12.0,839.98,16.72,64.7,310.4,448.16
1985,HI00200,"Honolulu, HI",817083.0,1801.0,36.0,248.0,552.0,965.0,12.0,220.42,4.41,30.35,67.56,118.1
1985,TXHPD00,"Houston, TX",1746375.0,16461.0,457.0,1711.0,4704.0,9589.0,12.0,942.58,26.17,97.97,269.36,549.08
1985,INIPD00,"Indianapolis, IN",471656.0,4622.0,59.0,346.0,2422.0,1795.0,12.0,979.95,12.51,73.36,513.51,380.57
1985,FL01602,"Jacksonville, FL",601007.0,7301.0,90.0,705.0,3813.0,2693.0,12.0,1214.79,14.97,117.3,634.44,448.08
1985,MOKPD00,"Kansas City, MO",444942.0,8012.0,91.0,424.0,4851.0,2646.0,12.0,1800.68,20.45,95.29,1090.25,594.68
1985,NV00201,"Las Vegas, NV",456749.0,3624.0,57.0,278.0,1534.0,1755.0,12.0,793.43,12.48,60.86,335.85,384.24
1985,CA01941,"Long Beach, CA",389728.0,4134.0,63.0,235.0,1431.0,2405.0,12.0,1060.74,16.17,60.3,367.18,617.1
1985,CA01900,"Los Angeles County, CA",1074561.0,10624.0,164.0,520.0,6118.0,3822.0,12.0,988.68,15.26,48.39,569.35,355.68
1985,CA01942,"Los Angeles, CA",3186459.0,52832.0,777.0,2318.0,21799.0,27938.0,12.0,1658.02,24.38,72.75,684.11,876.77
1985,KY05680,"Louisville, KY",,,,,,,,,,,,
1985,TNMPD00,"Memphis, TN",654626.0,9738.0,122.0,903.0,3697.0,5016.0,12.0,1487.57,18.64,137.94,564.75,766.24
1985,AZ00717,"Mesa, AZ",202450.0,1121.0,8.0,70.0,887.0,156.0,12.0,553.72,3.95,34.58,438.13,77.06
1985,FL01300,"Miami-Dade County, FL",859660.0,13064.0,177.0,548.0,7735.0,4604.0,12.0,1519.67,20.59,63.75,899.77,535.56
1985,FL01306,"Miami, FL",385892.0,11186.0,131.0,284.0,5003.0,5768.0,12.0,2898.74,33.95,73.6,1296.48,1494.72
1985,WIMPD00,"Milwaukee, WI",621931.0,4056.0,68.0,390.0,1512.0,2086.0,12.0,652.16,10.93,62.71,243.11,335.41
1985,MN02711,"Minneapolis, MN",361021.0,5135.0,29.0,419.0,2361.0,2326.0,12.0,1422.35,8.03,116.06,653.98,644.28
1985,MD01604,"Montgomery County, MD",573982.0,1645.0,12.0,114.0,844.0,675.0,12.0,286.59,2.09,19.86,147.04,117.6
1985,TN01901,"Nashville, TN",481286.0,3376.0,81.0,348.0,1359.0,1588.0,12.0,701.45,16.83,72.31,282.37,329.95
1985,NY02900,"Nassau County, NY",1067327.0,1771.0,18.0,86.0,667.0,1000.0,12.0,165.93,1.69,8.06,62.49,93.69
1985,LANPD00,"New Orleans, LA",561364.0,8222.0,152.0,451.0,3477.0,4142.0,12.0,1464.65,27.08,80.34,619.38,737.85
