report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita
1993,NM00101,"Albuquerque, NM",407286.0,6696.0,50.0,259.0,4835.0,1552.0,12.0,1644.05,12.28,63.59,1187.13,381.06
1993,TX22001,"Arlington, TX",281336.0,2259.0,7.0,146.0,1396.0,710.0,12.0,802.95,2.49,51.9,496.2,252.37
1993,GAAPD00,"Atlanta, GA",402877.0,16281.0,203.0,492.0,9541.0,6045.0,12.0,4041.18,50.39,122.12,2368.22,1500.46
1993,CO00101,"Aurora, CO",246610.0,4457.0,19.0,166.0,3532.0,740.0,12.0,1807.31,7.7,67.31,1432.22,300.07
1993,TX22701,"Austin, TX",502018.0,3011.0,37.0,271.0,1148.0,1555.0,12.0,599.78,7.37,53.98,228.68,309.75
1993,MD00301,"Baltimore County, MD",712020.0,7451.0,36.0,281.0,4827.0,2307.0,12.0,1046.46,5.06,39.47,677.93,324.01
1993,MDBPD00,"Baltimore, MD",732968.0,21945.0,353.0,668.0,8548.0,12376.0,12.0,2993.99,48.16,91.14,1166.22,1688.48
1993,MA01301,"Boston, MA",553870.0,10843.0,98.0,480.0,6184.0,4081.0,12.0,1957.68,17.69,86.66,1116.51,736.82
1993,NY01401,"Buffalo, NY",324855.0,6041.0,76.0,295.0,2772.0,2898.0,12.0,1859.6,23.4,90.81,853.3,892.09
1993,NC06001,"Charlotte, NC",422862.0,9725.0,122.0,356.0,6020.0,3227.0,12.0,2299.8,28.85,84.19,1423.63,763.13
1993,ILCPD00,"Chicago, IL",2788996.0,79183.0,862.0,3379.0,39753.0,35189.0,12.0,2839.12,30.91,121.15,1425.35,1261.71
1993,OHCIP00,"Cincinnati, OH",366591.0,5621.0,39.0,449.0,2806.0,2327.0,12.0,1533.32,10.64,122.48,765.43,634.77
1993,OHCLP00,"Cleveland, OH",505730.0,8310.0,167.0,834.0,3012.0,4297.0,12.0,1643.17,33.02,164.91,595.57,849.66
1993,OHCOP00,"Columbus, OH",646933.0,7146.0,105.0,658.0,2496.0,3887.0,12.0,1104.6,16.23,101.71,385.82,600.84
1993,TXDPD00,"Dallas, TX",1042619.0,18176.0,317.0,1000.0,9439.0,7420.0,12.0,1743.3,30.4,95.91,905.32,711.67
1993,CODPD00,"Denver, CO",498402.0,5252.0,74.0,393.0,2922.0,1863.0,12.0,1053.77,14.85,78.85,586.27,373.79
1993,MI82349,"Detroit, MI",1020062.0,28358.0,579.0,1189.0,12999.0,13591.0,12.0,2780.03,56.76,116.56,1274.33,1332.37
1993,TX07102,"El Paso, TX",554515.0,6109.0,47.0,281.0,4220.0,1561.0,12.0,1101.68,8.48,50.67,761.03,281.51
1993,VA02901,"Fairfax County, VA",836460.0,920.0,17.0,100.0,343.0,460.0,12.0,109.99,2.03,11.96,41.01,54.99
1993,TX22012,"Fort Worth, TX",463373.0,6979.0,133.0,507.0,3589.0,2750.0,12.0,1506.13,28.7,109.42,774.54,593.47
1993,CA01005,"Fresno, CA",379977.0,5511.0,87.0,216.0,2329.0,2879.0,12.0,1450.35,22.9,56.85,612.93,757.68
1993,HI00200,"Honolulu, HI",875455.0,2501.0,31.0,286.0,1099.0,1085.0,12.0,285.68,3.54,32.67,125.53,123.94
1993,TXHPD00,"Houston, TX",1724327.0,25069.0,446.0,1109.0,12742.0,10772.0,12.0,1453.84,25.87,64.31,738.95,624.71
1993,INIPD00,"Indianapolis, IN",377723.0,6292.0,68.0,517.0,3657.0,2050.0,12.0,1665.77,18.0,136.87,968.17,542.73
1993,FL01602,"Jacksonville, FL",672310.0,11417.0,125.0,699.0,6989.0,3604.0,12.0,1698.17,18.59,103.97,1039.55,536.06
1993,MOKPD00,"Kansas City, MO",435428.0,10961.0,153.0,515.0,6402.0,3891.0,12.0,2517.29,35.14,118.27,1470.28,893.6
1993,NV00201,"Las Vegas, NV",717441.0,7281.0,91.0,435.0,3183.0,3572.0,12.0,1014.86,12.68,60.63,443.66,497.88
1993,CA01941,"Long Beach, CA",443259.0,7116.0,126.0,200.0,3073.0,3717.0,12.0,1605.38,28.43,45.12,693.27,838.56
1993,CA01900,"Los Angeles County, CA",947137.0,16054.0,229.0,321.0,10901.0,4603.0,12.0,1695.0,24.18,33.89,1150.94,485.99
1993,CA01942,"Los Angeles, CA",3525317.0,83701.0,1076.0,1773.0,42437.0,38415.0,12.0,2374.28,30.52,50.29,1203.78,1089.69
1993,KY05680,"Louisville, KY",,,,,,,,,,,,
1993,TNMPD00,"Memphis, TN",618981.0,10113.0,198.0,725.0,3824.0,5366.0,12.0,1633.81,31.99,117.13,617.79,866.91
1993,AZ00717,"Mesa, AZ",304695.0,2335.0,6.0,111.0,1808.0,410.0,12.0,766.34,1.97,36.43,593.38,134.56
1993,FL01300,"Miami-Dade County, FL",1103461.0,20761.0,183.0,643.0,12057.0,7878.0,12.0,1881.44,16.58,58.27,1092.65,713.94
1993,FL01306,"Miami, FL",372519.0,14502.0,127.0,204.0,7089.0,7082.0,12.0,3892.96,34.09,54.76,1902.99,1901.11
1993,WIMPD00,"Milwaukee, WI",623114.0,6014.0,157.0,424.0,1411.0,4022.0,12.0,965.15,25.2,68.05,226.44,645.47
1993,MN02711,"Minneapolis, MN",366642.0,6481.0,58.0,518.0,2727.0,3178.0,12.0,1767.66,15.82,141.28,743.78,866.79
1993,MD01604,"Montgomery County, MD",775718.0,2110.0,29.0,205.0,1034.0,842.0,12.0,272.01,3.74,26.43,133.3,108.54
1993,TN01901,"Nashville, TN",513648.0,9164.0,87.0,577.0,5791.0,2709.0,12.0,1784.1,16.94,112.33,1127.43,527.4
1993,NY02900,"Nassau County, NY",1028280.0,2117.0,18.0,71.0,899.0,1129.0,12.0,205.88,1.75,6.9,87.43,109.79
1993,LANPD00,"New Orleans, LA",491619.0,10024.0,395.0,298.0,4152.0,5179.0,12.0,2038.98,80.35,60.62,844.56,1053.46
1993,NY03030,"New York City, NY",7347257.0,153543.0,1946.0,2818.0,62778.0,86001.0,12.0,2089.8,26.49,38.35,854.44,1170.52
1993,NJNPD00,"Newark, NJ",269892.0,10222.0,96.0,257.0,3977.0,5892.0,12.0,3787.44,35.57,95.22,1473.55,2183.1
1993,CA00109,"Oakland, CA",377037.0,9809.0,154.0,353.0,4743.0,4559.0,12.0,2601.6,40.84,93.62,1257.97,1209.17
1993,OK05506,"Oklahoma City, OK",457448.0,6480.0,80.0,515.0,4161.0,1724.0,12.0,1416.55,17.49,112.58,909.61,376.87
1993,NB02802,"Omaha, NE",341499.0,3899.0,32.0,209.0,2906.0,752.0,12.0,1141.73,9.37,61.2,850.95,220.21
1993,FL04804,"Orlando, FL",176748.0,4140.0,15.0,209.0,2809.0,1107.0,12.0,2342.32,8.49,118.25,1589.27,626.32
1993,PAPEP00,"Philadelphia, PA",1559534.0,19576.0,439.0,785.0,6821.0,11531.0,12.0,1255.25,28.15,50.34,437.37,739.39
1993,AZ00723,"Phoenix, AZ",1039369.0,11911.0,158.0,444.0,7872.0,3437.0,12.0,1145.98,15.2,42.72,757.38,330.68
1993,PAPPD00,"Pittsburgh, PA",368473.0,4479.0,80.0,226.0,1389.0,2784.0,12.0,1215.56,21.71,61.33,376.96,755.55
1993,OR02602,"Portland, OR",454889.0,8445.0,58.0,479.0,5603.0,2305.0,12.0,1856.5,12.75,105.3,1231.73,506.72
1993,MD01721,"Prince George's County, MD",632201.0,7905.0,133.0,406.0,3491.0,3875.0,12.0,1250.39,21.04,64.22,552.2,612.94
1993,NC09201,"Raleigh, NC",224057.0,2030.0,27.0,94.0,1114.0,795.0,12.0,906.02,12.05,41.95,497.19,354.82
1993,CA03404,"Sacramento, CA",386732.0,4850.0,85.0,167.0,2288.0,2310.0,12.0,1254.1,21.98,43.18,591.62,597.31
1993,UT01803,"Salt Lake City, UT",170380.0,1402.0,19.0,204.0,681.0,498.0,12.0,822.87,11.15,119.73,399.69,292.29
1993,TXSPD00,"San Antonio, TX",985456.0,6725.0,220.0,553.0,2973.0,2979.0,12.0,682.43,22.32,56.12,301.69,302.3
1993,CA03711,"San Diego, CA",1160603.0,13463.0,133.0,396.0,8283.0,4651.0,12.0,1160.0,11.46,34.12,713.68,400.74
1993,CA03801,"San Francisco, CA",736377.0,13365.0,129.0,361.0,4421.0,8454.0,12.0,1814.97,17.52,49.02,600.37,1148.05
1993,CA04313,"San Jose, CA",809528.0,5317.0,41.0,391.0,3699.0,1186.0,12.0,656.8,5.06,48.3,456.93,146.51
1993,WASPD00,"Seattle, WA",531274.0,7437.0,67.0,356.0,4344.0,2670.0,12.0,1399.84,12.61,67.01,817.66,502.57
1993,MOSPD00,"St. Louis, MO",387053.0,14998.0,267.0,319.0,8189.0,6223.0,12.0,3874.92,68.98,82.42,2115.73,1607.79
1993,NY05101,"Suffolk County, NY",1211097.0,3138.0,44.0,65.0,1332.0,1697.0,12.0,259.1,3.63,5.37,109.98,140.12
