file_name,year,year_range,description
crime_1975.csv,1975,1975-1985,Crime statistics for 1975 including population and violent crime counts.
crime_1976.csv,1976,1975-1985,Crime statistics for 1976 including population and violent crime counts.
crime_1977.csv,1977,1975-1985,Crime statistics for 1977 including population and violent crime counts.
crime_1978.csv,1978,1975-1985,Crime statistics for 1978 including population and violent crime counts.
crime_1979.csv,1979,1975-1985,Crime statistics for 1979 including population and violent crime counts.
crime_1980.csv,1980,1975-1985,Crime statistics for 1980 including population and violent crime counts.
crime_1981.csv,1981,1975-1985,Crime statistics for 1981 including population and violent crime counts.
crime_1982.csv,1982,1975-1985,Crime statistics for 1982 including population and violent crime counts.
crime_1983.csv,1983,1975-1985,Crime statistics for 1983 including population and violent crime counts.
crime_1984.csv,1984,1975-1985,Crime statistics for 1984 including population and violent crime counts.
crime_1985.csv,1985,1975-1985,Crime statistics for 1985 including population and violent crime counts.
crime_1986.csv,1986,1986-1995,Crime statistics for 1986 including population and violent crime counts.
crime_1987.csv,1987,1986-1995,Crime statistics for 1987 including population and violent crime counts.
crime_1988.csv,1988,1986-1995,Crime statistics for 1988 including population and violent crime counts.
crime_1989.csv,1989,1986-1995,Crime statistics for 1989 including population and violent crime counts.
crime_1990.csv,1990,1986-1995,Crime statistics for 1990 including population and violent crime counts.
crime_1991.csv,1991,1986-1995,Crime statistics for 1991 including population and violent crime counts.
crime_1992.csv,1992,1986-1995,Crime statistics for 1992 including population and violent crime counts.
crime_1993.csv,1993,1986-1995,Crime statistics for 1993 including population and violent crime counts.
crime_1994.csv,1994,1986-1995,Crime statistics for 1994 including population and violent crime counts.
crime_1995.csv,1995,1986-1995,Crime statistics for 1995 including population and violent crime counts.
crime_1996.csv,1996,1996-2005,Crime statistics for 1996 including population and violent crime counts.
crime_1997.csv,1997,1996-2005,Crime statistics for 1997 including population and violent crime counts.
crime_1998.csv,1998,1996-2005,Crime statistics for 1998 including population and violent crime counts.
crime_1999.csv,1999,1996-2005,Crime statistics for 1999 including population and violent crime counts.
crime_2000.csv,2000,1996-2005,Crime statistics for 2000 including population and violent crime counts.
crime_2001.csv,2001,1996-2005,Crime statistics for 2001 including population and violent crime counts.
crime_2002.csv,2002,1996-2005,Crime statistics for 2002 including population and violent crime counts.
crime_2003.csv,2003,1996-2005,Crime statistics for 2003 including population and violent crime counts.
crime_2004.csv,2004,1996-2005,Crime statistics for 2004 including population and violent crime counts.
crime_2005.csv,2005,1996-2005,Crime statistics for 2005 including population and violent crime counts.
crime_2006.csv,2006,2006-2015,Crime statistics for 2006 including population and violent crime counts.
crime_2007.csv,2007,2006-2015,Crime statistics for 2007 including population and violent crime counts.
crime_2008.csv,2008,2006-2015,Crime statistics for 2008 including population and violent crime counts.
crime_2009.csv,2009,2006-2015,Crime statistics for 2009 including population and violent crime counts.
crime_2010.csv,2010,2006-2015,Crime statistics for 2010 including population and violent crime counts.
crime_2011.csv,2011,2006-2015,Crime statistics for 2011 including population and violent crime counts.
crime_2012.csv,2012,2006-2015,Crime statistics for 2012 including population and violent crime counts.
crime_2013.csv,2013,2006-2015,Crime statistics for 2013 including population and violent crime counts.
crime_2014.csv,2014,2006-2015,Crime statistics for 2014 including population and violent crime counts.
crime_2015.csv,2015,2006-2015,Crime statistics for 2015 including population and violent crime counts.
